sample,event,trap,sample_number,date_begin,date_end,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],sample_1998_2000,trap_2008_2011
a1-1,Amazon1998,a1,1,16.08.1998,01.09.1998,GX.9136,GX.9376,GX.9141,,a1/1,a1
a1-2,Amazon1998,a1,2,01.09.1998,16.09.1998,GX.9136,GX.9376,GX.9141,,a1/2,a1
a1-3,Amazon1998,a1,3,16.09.1998,01.10.1998,GX.9136,GX.9376,GX.9141,,a1/3,a1
a1-4,Amazon1998,a1,4,01.10.1998,16.10.1998,GX.9136,GX.9376,GX.9141,,a1/4,a1
a1-5,Amazon1998,a1,5,16.10.1998,01.11.1998,GX.9136,GX.9376,GX.9141,,a1/5,a1
a1-6,Amazon1998,a1,6,01.11.1998,16.11.1998,GX.9136,GX.9376,GX.9141,,a1/6,a1
a1-7,Amazon1998,a1,7,16.11.1998,01.12.1998,GX.9136,GX.9376,GX.9141,,a1/7,a1
a1-8,Amazon1998,a1,8,01.12.1998,16.12.1998,GX.9136,GX.9376,GX.9141,,a1/8,a1
a1-9,Amazon1998,a1,9,16.12.1998,01.01.1999,GX.9136,GX.9376,GX.9141,,a1/9,a1
a2-1,Amazon1998,a2,1,16.08.1998,01.09.1998,GX.9136,GX.9376,GX.9142,,a2/1,a2
a2-2,Amazon1998,a2,2,01.09.1998,16.09.1998,GX.9136,GX.9376,GX.9142,,a2/2,a2
a2-3,Amazon1998,a2,3,16.09.1998,01.10.1998,GX.9136,GX.9376,GX.9142,,a2/3,a2
a2-4,Amazon1998,a2,4,01.10.1998,16.10.1998,GX.9136,GX.9376,GX.9142,,a2/4,a2
a2-5,Amazon1998,a2,5,16.10.1998,01.11.1998,GX.9136,GX.9376,GX.9142,,a2/5,a2
a2-6,Amazon1998,a2,6,01.11.1998,16.11.1998,GX.9136,GX.9376,GX.9142,,a2/6,a2
a2-7,Amazon1998,a2,7,16.11.1998,01.12.1998,GX.9136,GX.9376,GX.9142,,a2/7,a2
a2-8,Amazon1998,a2,8,01.12.1998,16.12.1998,GX.9136,GX.9376,GX.9142,,a2/8,a2
a2-9,Amazon1998,a2,9,16.12.1998,01.01.1999,GX.9136,GX.9376,GX.9142,,a2/9,a2
b1-2,Amazon1998,b1,2,01.09.1998,16.09.1998,GX.9136,GX.9375,GX.9143,,b1/2,b1
b1-3,Amazon1998,b1,3,16.09.1998,01.10.1998,GX.9136,GX.9375,GX.9143,,b1/3,b1
b1-4,Amazon1998,b1,4,01.10.1998,16.10.1998,GX.9136,GX.9375,GX.9143,,b1/4,b1
b1-5,Amazon1998,b1,5,16.10.1998,01.11.1998,GX.9136,GX.9375,GX.9143,,b1/5,b1
b1-6,Amazon1998,b1,6,01.11.1998,16.11.1998,GX.9136,GX.9375,GX.9143,,b1/6,b1
b1-7,Amazon1998,b1,7,16.11.1998,01.12.1998,GX.9136,GX.9375,GX.9143,,b1/7,b1
b1-8,Amazon1998,b1,8,01.12.1998,16.12.1998,GX.9136,GX.9375,GX.9143,,b1/8,b1
b1-9,Amazon1998,b1,9,16.12.1998,01.01.1999,GX.9136,GX.9375,GX.9143,,b1/9,b1
b2-1,Amazon1998,b2,1,16.08.1998,01.09.1998,GX.9136,GX.9375,GX.9144,,b2/1,b2
b2-2,Amazon1998,b2,2,01.09.1998,16.09.1998,GX.9136,GX.9375,GX.9144,,b2/2,b2
b2-4,Amazon1998,b2,4,01.10.1998,16.10.1998,GX.9136,GX.9375,GX.9144,,b2/4,b2
b2-5,Amazon1998,b2,5,16.10.1998,01.11.1998,GX.9136,GX.9375,GX.9144,,b2/5,b2
b2-6,Amazon1998,b2,6,01.11.1998,16.11.1998,GX.9136,GX.9375,GX.9144,,b2/6,b2
b2-7,Amazon1998,b2,7,16.11.1998,01.12.1998,GX.9136,GX.9375,GX.9144,,b2/7,b2
b2-8,Amazon1998,b2,8,01.12.1998,16.12.1998,GX.9136,GX.9375,GX.9144,,b2/8,b2
b2-9,Amazon1998,b2,9,16.12.1998,01.01.1999,GX.9136,GX.9375,GX.9144,,b2/9,b2
b3-1,Amazon1998,b3,1,16.08.1998,01.09.1998,GX.9136,GX.9375,GX.9145,,b3/1,b3
b3-2,Amazon1998,b3,2,01.09.1998,16.09.1998,GX.9136,GX.9375,GX.9145,,b3/2,b3
b3-3,Amazon1998,b3,3,16.09.1998,01.10.1998,GX.9136,GX.9375,GX.9145,,b3/3,b3
b3-4,Amazon1998,b3,4,01.10.1998,16.10.1998,GX.9136,GX.9375,GX.9145,,b3/4,b3
b3-5,Amazon1998,b3,5,16.10.1998,01.11.1998,GX.9136,GX.9375,GX.9145,,b3/5,b3
b3-6,Amazon1998,b3,6,01.11.1998,16.11.1998,GX.9136,GX.9375,GX.9145,,b3/6,b3
b3-7,Amazon1998,b3,7,16.11.1998,01.12.1998,GX.9136,GX.9375,GX.9145,,b3/7,b3
b3-8,Amazon1998,b3,8,01.12.1998,16.12.1998,GX.9136,GX.9375,GX.9145,,b3/8,b3
b3-9,Amazon1998,b3,9,16.12.1998,01.01.1999,GX.9136,GX.9375,GX.9145,,b3/9,b3
c1-1,Amazon1998,c1,1,20.08.1998,04.09.1998,GX.9136,GX.9376,GX.9146,,c1/1,c1
c1-2,Amazon1998,c1,2,04.09.1998,18.09.1998,GX.9136,GX.9376,GX.9146,,c1/2,c1
c1-3,Amazon1998,c1,3,18.09.1998,04.10.1998,GX.9136,GX.9376,GX.9146,,c1/3,c1
c1-4,Amazon1998,c1,4,04.10.1998,20.10.1998,GX.9136,GX.9376,GX.9146,,c1/4,c1
c1-7,Amazon1998,c1,7,17.11.1998,03.12.1998,GX.9136,GX.9376,GX.9146,,c1/7,c1
c1-8,Amazon1998,c1,8,03.12.1998,17.12.1998,GX.9136,GX.9376,GX.9146,,c1/8,c1
c1-9,Amazon1998,c1,9,17.12.1998,20.01.1999,GX.9136,GX.9376,GX.9146,,c1/9,c1
c2-1,Amazon1998,c2,1,20.08.1998,04.09.1998,GX.9136,GX.9376,GX.9147,,c2/1,c2
c2-2,Amazon1998,c2,2,04.09.1998,18.09.1998,GX.9136,GX.9376,GX.9147,,c2/2,c2
c2-3,Amazon1998,c2,3,18.09.1998,04.10.1998,GX.9136,GX.9376,GX.9147,,c2/3,c2
c2-4,Amazon1998,c2,4,04.10.1998,20.10.1998,GX.9136,GX.9376,GX.9147,,c2/4,c2
c2-5,Amazon1998,c2,5,20.10.1998,05.11.1998,GX.9136,GX.9376,GX.9147,,c2/5,c2
c2-6,Amazon1998,c2,6,05.11.1998,17.11.1998,GX.9136,GX.9376,GX.9147,,c2/6,c2
c2-7,Amazon1998,c2,7,17.11.1998,03.12.1998,GX.9136,GX.9376,GX.9147,,c2/7,c2
c2-8,Amazon1998,c2,8,03.12.1998,17.12.1998,GX.9136,GX.9376,GX.9147,,c2/8,c2
c2-9,Amazon1998,c2,9,17.12.1998,20.01.1999,GX.9136,GX.9376,GX.9147,,c2/9,c2
d1-1,Amazon1998,d1,1,20.08.1998,04.09.1998,GX.9136,GX.9375,GX.9148,,d1/1,d1
d1-2,Amazon1998,d1,2,04.09.1998,18.09.1998,GX.9136,GX.9375,GX.9148,,d1/2,d1
d1-3,Amazon1998,d1,3,18.09.1998,04.10.1998,GX.9136,GX.9375,GX.9148,,d1/3,d1
d1-4,Amazon1998,d1,4,04.10.1998,20.10.1998,GX.9136,GX.9375,GX.9148,,d1/4,d1
d1-5,Amazon1998,d1,5,20.10.1998,05.11.1998,GX.9136,GX.9375,GX.9148,,d1/5,d1
d1-6,Amazon1998,d1,6,05.11.1998,17.11.1998,GX.9136,GX.9375,GX.9148,,d1/6,d1
d1-7,Amazon1998,d1,7,17.11.1998,03.12.1998,GX.9136,GX.9375,GX.9148,,d1/7,d1
d1-8,Amazon1998,d1,8,03.12.1998,17.12.1998,GX.9136,GX.9375,GX.9148,,d1/8,d1
d1-9,Amazon1998,d1,9,17.12.1998,20.01.1999,GX.9136,GX.9375,GX.9148,,d1/9,d1
d2-1,Amazon1998,d2,1,20.08.1998,04.09.1998,GX.9136,GX.9375,GX.9149,,d2/1,d2
d2-2,Amazon1998,d2,2,04.09.1998,18.09.1998,GX.9136,GX.9375,GX.9149,,d2/2,d2
d2-3,Amazon1998,d2,3,18.09.1998,04.10.1998,GX.9136,GX.9375,GX.9149,,d2/3,d2
d2-4,Amazon1998,d2,4,04.10.1998,20.10.1998,GX.9136,GX.9375,GX.9149,,d2/4,d2
d2-5,Amazon1998,d2,5,20.10.1998,05.11.1998,GX.9136,GX.9375,GX.9149,,d2/5,d2
d2-6,Amazon1998,d2,6,05.11.1998,17.11.1998,GX.9136,GX.9375,GX.9149,,d2/6,d2
d2-7,Amazon1998,d2,7,17.11.1998,03.12.1998,GX.9136,GX.9375,GX.9149,,d2/7,d2
d2-8,Amazon1998,d2,8,03.12.1998,17.12.1998,GX.9136,GX.9375,GX.9149,,d2/8,d2
d2-9,Amazon1998,d2,9,17.12.1998,20.01.1999,GX.9136,GX.9375,GX.9149,,d2/9,d2
d3-1,Amazon1998,d3,1,20.08.1998,04.09.1998,GX.9136,GX.9375,GX.9150,,d3/1,d3
d3-2,Amazon1998,d3,2,04.09.1998,18.09.1998,GX.9136,GX.9375,GX.9150,,d3/2,d3
d3-3,Amazon1998,d3,3,18.09.1998,04.10.1998,GX.9136,GX.9375,GX.9150,,d3/3,d3
d3-4,Amazon1998,d3,4,04.10.1998,20.10.1998,GX.9136,GX.9375,GX.9150,,d3/4,d3
d3-5,Amazon1998,d3,5,20.10.1998,05.11.1998,GX.9136,GX.9375,GX.9150,,d3/5,d3
d3-6,Amazon1998,d3,6,05.11.1998,17.11.1998,GX.9136,GX.9375,GX.9150,,d3/6,d3
d3-7,Amazon1998,d3,7,17.11.1998,03.12.1998,GX.9136,GX.9375,GX.9150,,d3/7,d3
d3-8,Amazon1998,d3,8,03.12.1998,17.12.1998,GX.9136,GX.9375,GX.9150,,d3/8,d3
d3-9,Amazon1998,d3,9,17.12.1998,20.01.1999,GX.9136,GX.9375,GX.9150,,d3/9,d3
e1-1,Amazon2000,e1,1,22.01.2000,22.02.2000,GX.9116,GX.9375,GX.9153,,e1/1,e1
e1-2,Amazon2000,e1,2,22.02.2000,07.03.2000,GX.9116,GX.9375,GX.9153,,e1/2,e1
e1-3,Amazon2000,e1,3,07.03.2000,24.03.2000,GX.9116,GX.9375,GX.9153,,e1/3,e1
e1-4,Amazon2000,e1,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9153,,e1/4,e1
e1-5,Amazon2000,e1,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9153,,e1/5,e1
e1-7,Amazon2000,e1,7,22.05.2000,11.06.2000,GX.9116,GX.9375,GX.9153,,e1/7,e1
e1-8,Amazon2000,e1,8,11.06.2000,29.06.2000,GX.9116,GX.9375,GX.9153,,e1/8,e1
e1-9,Amazon2000,e1,9,29.06.2000,16.07.2000,GX.9116,GX.9375,GX.9153,,e1/9,e1
e1-10,Amazon2000,e1,10,16.07.2000,02.08.2000,GX.9116,GX.9375,GX.9153,,e1/10,e1
e1-11,Amazon2000,e1,11,02.08.2000,18.08.2000,GX.9116,GX.9375,GX.9153,,e1/11,e1
e1-12,Amazon2000,e1,12,18.08.2000,14.09.2000,GX.9116,GX.9375,GX.9153,,e1/12,e1
e1-13,Amazon2000,e1,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9153,,e1/13,e1
e1-14,Amazon2000,e1,14,04.10.2000,15.10.2000,GX.9116,GX.9375,GX.9153,,e1/14,e1
e1-15,Amazon2000,e1,15,15.10.2000,08.11.2000,GX.9116,GX.9375,GX.9153,,e1/15,e1
e1-16,Amazon2000,e1,16,08.11.2000,01.12.2000,GX.9116,GX.9375,GX.9153,,e1/16,e1
e1-17,Amazon2000,e1,17,01.12.2000,15.12.2000,GX.9116,GX.9375,GX.9153,,e1/17,e1
e1-18,Amazon2000,e1,18,15.12.2000,28.12.2000,GX.9116,GX.9375,GX.9153,,e1/18,e1
e2-1,Amazon2000,e2,1,22.01.2000,22.02.2000,GX.9116,GX.9375,GX.9154,,e2/1,e2
e2-2,Amazon2000,e2,2,22.02.2000,08.03.2000,GX.9116,GX.9375,GX.9154,,e2/2,e2
e2-3,Amazon2000,e2,3,08.03.2000,24.03.2000,GX.9116,GX.9375,GX.9154,,e2/3,e2
e2-4,Amazon2000,e2,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9154,,e2/4,e2
e2-5,Amazon2000,e2,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9154,,e2/5,e2
e2-7,Amazon2000,e2,7,22.05.2000,11.06.2000,GX.9116,GX.9375,GX.9154,,e2/7,e2
e2-9,Amazon2000,e2,9,29.06.2000,16.07.2000,GX.9116,GX.9375,GX.9154,,e2/9,e2
e2-11,Amazon2000,e2,11,02.08.2000,18.08.2000,GX.9116,GX.9375,GX.9154,,e2/11,e2
e2-12,Amazon2000,e2,12,18.08.2000,14.09.2000,GX.9116,GX.9375,GX.9154,,e2/12,e2
e2-13,Amazon2000,e2,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9154,,e2/13,e2
e2-14,Amazon2000,e2,14,04.10.2000,15.10.2000,GX.9116,GX.9375,GX.9154,,e2/14,e2
